what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1427999256758
started,bundle,org.eclipse.osgi,3.10.2.v20150203-1939,"org.eclipse.osgi",1427999256761
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.0.v20131217-1203,"org.eclipse.equinox.simpleconfigurator",1427999256764
started,bundle,com.ibm.icu,52.1.1.v201501240615,"com.ibm.icu",1427999256765
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1427999256767
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1427999256769
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1427999256770
started,bundle,org.eclipse.core.contenttype,3.4.200.v20140207-1251,"org.eclipse.core.contenttype",1427999256772
started,bundle,org.eclipse.core.databinding.observable,1.4.1.v20140210-1835,"org.eclipse.core.databinding.observable",1427999256775
started,bundle,org.eclipse.core.expressions,3.4.600.v20140128-0851,"org.eclipse.core.expressions",1427999256776
started,bundle,org.eclipse.core.filebuffers,3.5.400.v20140127-1516,"org.eclipse.core.filebuffers",1427999256779
started,bundle,org.eclipse.core.filesystem,1.4.100.v20140514-1614,"org.eclipse.core.filesystem",1427999256785
started,bundle,org.eclipse.core.jobs,3.6.1.v20141014-1248,"org.eclipse.core.jobs",1427999256787
started,bundle,org.eclipse.core.net,1.2.200.v20140124-2013,"org.eclipse.core.net",1427999256790
started,bundle,org.eclipse.core.resources,3.9.1.v20140825-1431,"org.eclipse.core.resources",1427999256792
started,bundle,org.eclipse.core.runtime,3.10.0.v20140318-2214,"org.eclipse.core.runtime",1427999256794
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.v20140128-0851,"org.eclipse.core.runtime.compatibility",1427999256795
started,bundle,org.eclipse.debug.core,3.9.1.v20140805-1629,"org.eclipse.debug.core",1427999256798
started,bundle,org.eclipse.dltk.core,5.1.1.201502050504,"org.eclipse.dltk.core",1427999256800
started,bundle,org.eclipse.dltk.core.index.sql,5.1.1.201502050504,"org.eclipse.dltk.core.index.sql",1427999256801
started,bundle,org.eclipse.dltk.core.index.sql.h2,5.1.1.201502050504,"org.eclipse.dltk.core.index.sql.h2",1427999256803
started,bundle,org.eclipse.dltk.core.manipulation,5.1.1.201502050504,"org.eclipse.dltk.core.manipulation",1427999256804
started,bundle,org.eclipse.dltk.launching,5.1.1.201502050504,"org.eclipse.dltk.launching",1427999256807
started,bundle,org.eclipse.dltk.ui,5.1.1.201502050504,"org.eclipse.dltk.ui",1427999256811
started,bundle,org.eclipse.e4.core.commands,0.10.2.v20140424-2344,"org.eclipse.e4.core.commands",1427999256813
